record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
43406,86012058,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,1,-41.53333333333333
43407,86012059,Sooty shearwater,PUFGRI,Puffinus griseus,2,-41.53333333333333
43408,86012060,Sooty shearwater,PUFGRI,Puffinus griseus,1,-41.53333333333333
43409,86012061,Sooty shearwater,PUFGRI,Puffinus griseus,1,-41.53333333333333
43410,86012061,Australasian gannet,MORSER,Morus serrator,1,-41.53333333333333
43411,86012062,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,1,-41.6
43412,86012062,Southern black-backed gull,LARDOM,Larus dominicanus,1,-41.6
43413,86012063,Cape petrel,DAPCAP,Daption capense,1,-41.63333333333333
43414,86012064,Southern black-backed gull,LARDOM,Larus dominicanus,3,-41.63333333333333
43415,86012064,Southern black-backed gull,LARDOM,Larus dominicanus,4,-41.63333333333333
43416,86012065,Westland petrel,PROWES,Procellaria westlandica,2,-41.7
43417,86012065,Southern black-backed gull,LARDOM,Larus dominicanus,15,-41.7
43418,86012065,Southern black-backed gull,LARDOM,Larus dominicanus,10,-41.7
43419,86012066,[NO BIRDS RECORDED],NA,NA,NA,-41.7
43420,86012067,[NO BIRDS RECORDED],NA,NA,NA,-41.68333333333333
43421,86012068,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,2,-42.21666666666667
43422,86012068,Cape petrel,DAPCAP,Daption capense,2,-42.21666666666667
43423,86012068,Westland petrel,PROWES,Procellaria westlandica,3,-42.21666666666667
43424,86012068,Sooty shearwater,PUFGRI,Puffinus griseus,2,-42.21666666666667
43425,86012069,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,1,-42.21666666666667
43426,86012069,Cape petrel,DAPCAP,Daption capense,2,-42.21666666666667
43427,86012069,Prion ,PACSP,Pachyptila sp,6,-42.21666666666667
43428,86012069,Westland petrel,PROWES,Procellaria westlandica,21,-42.21666666666667
43429,86012069,Sooty shearwater,PUFGRI,Puffinus griseus,3,-42.21666666666667
43430,86012069,Storm-petrel ,STPEUN,NA,2,-42.21666666666667
43431,86012070,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,1,-42.15
43432,86012070,Cape petrel,DAPCAP,Daption capense,4,-42.15
43433,86012070,Prion ,PACSP,Pachyptila sp,4,-42.15
43434,86012070,Westland petrel,PROWES,Procellaria westlandica,9,-42.15
43435,86012070,Sooty shearwater,PUFGRI,Puffinus griseus,6,-42.15
43436,86012070,Grey-backed storm petrel,GARNER,Garrodia nereis,5,-42.15
43437,86012071,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-42.15
43438,86012071,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,2,-42.15
43439,86012071,Prion ,PACSP,Pachyptila sp,8,-42.15
43440,86012071,Westland petrel,PROWES,Procellaria westlandica,28,-42.15
43441,86012071,Sooty shearwater,PUFGRI,Puffinus griseus,8,-42.15
43442,86012071,Grey-backed storm petrel,GARNER,Garrodia nereis,4,-42.15
43443,86012072,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,5,-42.15
43444,86012072,Cape petrel,DAPCAP,Daption capense,3,-42.15
43445,86012072,Prion ,PACSP,Pachyptila sp,6,-42.15
43446,86012072,Westland petrel,PROWES,Procellaria westlandica,40,-42.15
43447,86012072,Sooty shearwater,PUFGRI,Puffinus griseus,6,-42.15
43448,86012072,Grey-backed storm petrel,GARNER,Garrodia nereis,4,-42.15
43449,86012073,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,2,-42.15
